"userID","qnNum","qnRT","soundFocus","volume","volumePer","playNum","rateTime","valRating","arouRating","averRatingDef","arouRatingDef"
"HYCW9YGY",56,3300,"Metal Screech
(Zald and Pardo, 2002)",6.30957344480193,0.5,1,2,40,63,55,56
"HYCW9YGY",57,4991,"Cicada
(IADS-E; Yang et al., 2018)",6.30957344480193,0.5,1,2,82,25,47,41
"HYCW9YGY",58,5699,"5,000 Hz",6.30957344480193,0.5,1,2,22,72,43,46
"HYCW9YGY",60,3605,"High Frequencies
(Zald and Pardo, 2002)",39.8107170553497,1,1,2,9,71,44,41
"Y0EIZK1E",1,20148,"Brownian Noise",12.0226443461741,1,1,1,75,90,48,51
"Y0EIZK1E",2,11981,"5,000 Hz",12.0226443461741,1,1,1,0,95,65,60
"Y0EIZK1E",4,8371,"White Noise
(Bacigalupo & Luck, 2018)",3.46736850452532,0.5,1,1,100,99,54,52
"Y0EIZK1E",5,11000,"White Noise
(Bacigalupo & Luck, 2018)",12.0226443461741,1,1,1,65,70,51,39
"Y0EIZK1E",6,23301,"Pink Noise",12.0226443461741,1,1,1,85,80,61,53
"Y0EIZK1E",7,13857,"Metal Screech
(Zald and Pardo, 2002)",12.0226443461741,1,1,1,0,77,56,39
"Y0EIZK1E",8,12597,"Cicada
(IADS-E; Yang et al., 2018)",3.46736850452532,0.5,1,1,99,50,43,65
"Y0EIZK1E",9,9272,"Sea Wave
(IADS-E; Yang et al., 2018)",3.46736850452532,0.5,1,1,96,70,43,47
"Y0EIZK1E",10,7559,"Scream
(IADS-E; Yang et al., 2018)",12.0226443461741,1,1,1,0,100,65,58
"Y0EIZK1E",11,15645,"Cicada
(IADS-E; Yang et al., 2018)",12.0226443461741,1,1,1,79,60,38,60
"Y0EIZK1E",12,9064,"Dentist Drill
(Freesound)",12.0226443461741,1,1,1,0,75,62,60
"Y0EIZK1E",13,11280,"Sea Wave
(IADS-E; Yang et al., 2018)",12.0226443461741,1,1,1,80,60,57,37
"Y0EIZK1E",14,12117,"High Frequencies
(Zald and Pardo, 2002)",3.46736850452532,0.5,1,1,3,69,61,57
"Y0EIZK1E",15,13188,"Piano Melody
(IADS-E; Yang et al., 2018)",3.46736850452532,0.5,1,1,68,30,35,62
"Y0EIZK1E",16,13247,"Pink Noise",3.46736850452532,0.5,1,1,90,85,46,56
"Y0EIZK1E",17,50864,"White Noise
(Bacigalupo & Luck, 2018)",12.0226443461741,1,1,2,35,60,55,50
"Y0EIZK1E",18,6706,"Scream
(Morriss et al., 2015; 2016; 2020)",12.0226443461741,1,1,1,0,100,41,56
"Y0EIZK1E",19,7274,"Scream
(IADS-E; Yang et al., 2018)",12.0226443461741,1,1,2,0,100,61,38
"Y0EIZK1E",20,9204,"800 Hz",3.46736850452532,0.5,1,1,3,75,47,49
"Y0EIZK1E",21,11239,"Pink Noise",12.0226443461741,1,1,2,82,80,62,43
"Y0EIZK1E",23,67552,"High Frequencies
(Zald and Pardo, 2002)",12.0226443461741,1,2,1,0,82,57,54
"Y0EIZK1E",24,12694,"5,000 Hz",3.46736850452532,0.5,1,1,3,70,52,65
"Y0EIZK1E",25,6692,"Scream
(Morriss et al., 2015; 2016; 2020)",3.46736850452532,0.5,1,1,0,100,50,38
"Y0EIZK1E",26,8095,"Piano Melody
(IADS-E; Yang et al., 2018)",3.46736850452532,0.5,1,2,80,18,60,46
"Y0EIZK1E",27,16022,"Brownian Noise",3.46736850452532,0.5,1,1,80,65,59,41
"Y0EIZK1E",28,9795,"800 Hz",12.0226443461741,1,1,1,10,72,45,42
"Y0EIZK1E",29,29781,"Dentist Drill
(Freesound)",12.0226443461741,1,2,2,10,73,53,63
"Y0EIZK1E",30,7134,"Metal Screech
(Zald and Pardo, 2002)",12.0226443461741,1,1,2,5,83,47,61
"Y0EIZK1E",32,28731,"Sea Wave
(IADS-E; Yang et al., 2018)",12.0226443461741,1,2,2,80,76,45,56
"Y0EIZK1E",35,10882,"Metal Screech
(Zald and Pardo, 2002)",3.46736850452532,0.5,1,1,8,67,59,36
"Y0EIZK1E",37,13865,"Dentist Drill
(Freesound)",3.46736850452532,0.5,1,1,31,51,41,40
